Wall time,Step,Value
1621323857.5271327,100,70.0
1621323858.48913,200,70.0
1621323860.2468195,300,70.0
1621323861.5702448,400,70.0
1621323862.9061985,500,70.0
1621323864.2612996,600,70.0
1621323865.6294017,700,70.0
1621323866.996027,800,67.8499984741211
1621323868.3548818,900,70.0
1621323869.7560554,1000,70.0
1621323871.0910985,1100,70.0
1621323872.419054,1200,68.55000305175781
1621323873.7743108,1300,70.0
1621323875.1263561,1400,70.0
1621323876.5055132,1500,70.0
1621323877.8798523,1600,70.0
1621323879.2127123,1700,70.0
1621323880.600709,1800,70.0
1621323881.9279153,1900,70.0
1621323883.2849762,2000,68.30000305175781
1621323884.6435125,2100,70.0
1621323886.01995,2200,70.0
1621323887.350449,2300,70.0
1621323888.731328,2400,70.0
1621323890.1156523,2500,70.0
1621323891.4724314,2600,70.0
1621323892.8455284,2700,70.0
1621323894.1689868,2800,70.0
1621323895.5564172,2900,70.0
1621323896.9390774,3000,70.0
1621323898.342805,3100,70.0
1621323899.6592371,3200,70.0
1621323900.9339802,3300,70.0
1621323902.3498507,3400,70.0
1621323903.688561,3500,70.0
1621323904.98843,3600,70.0
1621323906.2663617,3700,70.0
1621323907.557106,3800,70.0
1621323908.9092171,3900,70.0
1621323910.281343,4000,70.0
1621323911.6959016,4100,70.0
1621323913.0363157,4200,70.0
1621323914.4371886,4300,70.0
1621323915.7924206,4400,70.0
1621323917.1701703,4500,70.0
1621323918.4568114,4600,70.0
1621323919.743997,4700,70.0
1621323921.0429666,4800,70.0
1621323922.324081,4900,70.0
1621323923.7000477,5000,70.0
1621323925.0629559,5100,70.0
1621323926.3328943,5200,70.0
1621323927.6006577,5300,70.0
1621323928.9284189,5400,70.0
1621323930.2304857,5500,70.0
1621323931.5795166,5600,70.0
1621323932.9734952,5700,70.0
1621323934.2729583,5800,70.0
1621323935.6557057,5900,70.0
1621323936.9698453,6000,70.0
1621323938.3328648,6100,70.0
1621323939.6777287,6200,70.0
1621323941.0983646,6300,70.0
1621323942.5698617,6400,70.0
1621323943.9112484,6500,70.0
1621323945.2125428,6600,70.0
1621323946.508613,6700,70.0
1621323947.8046713,6800,70.0
1621323949.1519575,6900,70.0
1621323950.4583192,7000,66.55000305175781
1621323951.7736764,7100,70.0
1621323953.0807755,7200,70.0
1621323954.3429747,7300,70.0
1621323955.6624699,7400,70.0
1621323956.9947612,7500,70.0
1621323958.2944386,7600,70.0
1621323959.5991004,7700,70.0
1621323960.9074767,7800,70.0
1621323962.2358813,7900,70.0
1621323963.554519,8000,70.0
1621323964.832914,8100,70.0
1621323966.1814604,8200,70.0
1621323967.56104,8300,70.0
1621323968.837288,8400,70.0
1621323970.102515,8500,70.0
1621323971.4346223,8600,70.0
1621323972.8206553,8700,70.0
1621323974.1492198,8800,70.0
1621323975.4599419,8900,70.0
1621323976.7674546,9000,70.0
1621323978.0764136,9100,70.0
1621323979.3575919,9200,70.0
1621323980.712098,9300,70.0
1621323982.0000994,9400,70.0
1621323983.310069,9500,70.0
1621323984.6175556,9600,70.0
1621323985.9049006,9700,70.0
1621323987.192938,9800,70.0
1621323988.4969535,9900,70.0
1621323989.8297272,10000,70.0
1621323991.1074443,10100,70.0
1621323992.3821776,10200,70.0
1621323993.6530612,10300,70.0
1621323994.9544525,10400,70.0
1621323996.2529442,10500,70.0
1621323997.5483294,10600,70.0
