Wall time,Step,Value
1620373689.2634945,600,0.0
1620373690.5459845,700,0.0
1620373695.8681266,1100,0.0
1620373697.1326056,1200,0.0
1620373699.6461093,1400,5.0
1620373700.9321647,1500,0.0
1620373702.1948261,1600,0.0
1620373704.7590258,1800,0.0
1620373705.9917803,1900,0.0
1620373707.3088741,2000,0.0
1620373708.5990405,2100,0.0
1620373713.599009,2500,0.0
1620373724.9887812,3400,0.0
1620373726.2554064,3500,0.0
1620373728.7812889,3700,0.0
1620373732.6131573,4000,10.0
1620373733.8221908,4100,15.0
1620373736.2381198,4300,0.0
1620373738.8433728,4500,0.0
1620373740.0033312,4600,10.0
1620373742.5799615,4800,0.0
1620373745.114448,5000,10.0
1620373746.3154328,5100,10.0
1620373750.071332,5400,0.0
1620373751.2727928,5500,10.0
1620373752.5806026,5600,0.0
1620373753.8191662,5700,15.0
1620373755.100554,5800,10.0
1620373758.7749298,6100,0.0
1620373760.0428095,6200,5.0
1620373762.5391064,6400,0.0
1620373765.0693812,6600,10.0
1620373766.3067167,6700,5.0
1620373767.5842266,6800,0.0
1620373768.843879,6900,0.0
1620373772.5407627,7200,10.0
1620373773.7571254,7300,10.0
1620373774.9845028,7400,0.0
1620373776.195228,7500,10.0
1620373778.6820264,7700,10.0
1620373782.4350548,8000,5.0
1620373788.678325,8500,15.0
1620373789.8913317,8600,30.0
1620373791.0330427,8700,20.0
1620373792.1336539,8800,45.0
1620373793.301255,8900,35.0
1620373794.44877,9000,35.0
1620373800.1597943,9500,30.0
1620373808.919136,10300,70.0
1620373812.2992246,10600,45.0
1620373813.3332043,10700,35.0
1620373821.6833296,11400,35.0
1620373825.189311,11700,0.0
1620373827.5883634,11900,5.0
1620373828.8321984,12000,5.0
1620373829.942373,12100,25.0
1620373834.5832453,12500,45.0
1620373835.61386,12600,55.0
1620373836.806119,12700,25.0
1620373839.9588535,13000,40.0
1620373841.0254323,13100,40.0
1620373844.327254,13400,30.0
1620373849.173748,13800,15.0
1620373851.2914214,14000,40.0
1620373853.4126647,14200,50.0
1620373854.6524537,14300,10.0
1620373855.6745112,14400,40.0
1620373856.8849056,14500,15.0
1620373861.2795532,14900,35.0
1620373863.418367,15100,30.0
1620373866.701381,15400,30.0
1620373867.9203734,15500,15.0
1620373868.9052024,15600,35.0
1620373871.433018,15800,0.0
1620373872.6621966,15900,10.0
1620373873.9127183,16000,5.0
1620373877.4984012,16300,45.0
1620373879.5347023,16500,45.0
1620373880.7166736,16600,20.0
1620373882.9555397,16800,15.0
1620373884.169246,16900,10.0
1620373887.6705978,17200,20.0
1620373892.5442736,17700,100.0
1620373893.1655164,17800,100.0
1620373893.7222438,17900,100.0
1620373894.967787,18100,100.0
1620373895.6319675,18200,100.0
1620373896.7379658,18400,100.0
1620373897.8649628,18600,100.0
1620373898.4599636,18700,100.0
1620373899.035964,18800,100.0
1620373899.6429634,18900,100.0
1620373900.720959,19100,100.0
1620373901.2319598,19200,100.0
1620373904.8669558,19900,100.0
1620373906.9858897,20300,100.0
1620373909.1043146,20700,100.0
1620373909.5924127,20800,100.0
1620373910.1015453,20900,100.0
1620373911.9711573,21300,100.0
1620373913.54555,21600,100.0
1620373915.099644,21900,100.0
1620373915.5911598,22000,100.0
1620373917.0976129,22300,100.0
1620373917.5222373,22400,100.0
1620373918.4624634,22600,100.0
1620373918.8640773,22700,100.0
1620373919.3084636,22800,100.0
1620373920.139911,23000,100.0
1620373920.6334834,23100,100.0
1620373921.4944608,23300,100.0
1620373921.9070778,23400,100.0
1620373922.3332014,23500,100.0
1620373923.9166017,23800,100.0
1620373925.9225357,24100,100.0
1620373928.234517,24600,100.0
1620373929.037525,24800,100.0
1620373929.8526168,25000,100.0
1620373930.245645,25100,100.0
1620373932.2542727,25600,100.0
1620373933.5015054,25900,100.0
1620373933.9707136,26000,100.0
1620373934.4038475,26100,100.0
1620373935.2868638,26200,45.0
1620373936.1828408,26400,100.0
1620373937.9485638,26800,100.0
1620373938.8542817,27000,100.0
1620373939.7664797,27200,100.0
1620373940.6031463,27400,100.0
1620373942.4948854,27900,100.0
1620373943.275081,28100,100.0
1620373944.7969396,28500,100.0
1620373946.7213156,29000,100.0
1620373947.4809067,29200,100.0
1620373947.7993586,29300,100.0
1620373948.907398,29600,100.0
1620373949.6337159,29800,100.0
1620373950.0371628,29900,100.0
1620373950.4347174,30000,100.0
1620373951.0857902,30200,100.0
1620373951.4689498,30300,100.0
1620373951.8314254,30400,100.0
1620373953.2616084,30800,100.0
1620373953.628225,30900,100.0
1620373954.3367355,31100,100.0
1620373955.4083276,31400,100.0
1620373956.7728934,31800,100.0
1620373957.1163387,31900,100.0
1620373957.4479654,32000,100.0
1620373957.7913582,32100,100.0
1620373958.4784596,32300,100.0
1620373959.4798586,32600,100.0
1620373959.8214154,32700,100.0
1620373960.167235,32800,100.0
1620373961.101227,33100,100.0
1620373961.4455135,33200,100.0
1620373962.1021044,33400,100.0
1620373964.0802293,34000,100.0
1620373964.7682333,34200,100.0
1620373965.7241173,34500,100.0
1620373966.032795,34600,100.0
1620373966.6206372,34800,100.0
1620373966.9302835,34900,100.0
1620373968.4989147,35400,100.0
1620373968.8169372,35500,100.0
1620373969.436672,35700,100.0
1620373970.132248,35900,100.0
1620373970.4772475,36000,100.0
1620373970.7892468,36100,100.0
1620373971.702676,36400,100.0
1620373972.0222447,36500,100.0
1620373972.9702656,36800,100.0
1620373973.2893825,36900,100.0
1620373973.90736,37100,100.0
1620373974.2205782,37200,100.0
1620373974.8676517,37400,100.0
1620373976.0902297,37800,100.0
1620373976.4012735,37900,100.0
1620373976.6964955,38000,100.0
1620373977.3586705,38200,100.0
1620373977.6834576,38300,100.0
1620373978.5943596,38600,100.0
1620373978.9151268,38700,100.0
1620373979.224869,38800,100.0
1620373979.4989336,38900,100.0
1620373980.1449118,39100,100.0
1620373980.478852,39200,100.0
1620373980.8044803,39300,100.0
1620373981.073177,39400,100.0
1620373990.6735268,40300,0.0
1620373991.9904947,40400,0.0
1620373994.5262043,40600,0.0
1620373998.427465,40900,0.0
1620374007.5115976,41600,0.0
1620374008.7839792,41700,0.0
1620374013.881516,42100,0.0
1620374015.100257,42200,5.0
1620374016.358321,42300,5.0
1620374018.031429,42500,100.0
1620374018.618654,42700,100.0
1620374019.82674,43100,100.0
1620374022.499337,44000,100.0
1620374022.8025281,44100,100.0
1620374023.0836394,44200,100.0
